DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	231,420 European ancestry individuals	13q14.3	13	53505311		ZNF646P1 - LINC00558	ENSG00000274316	ENSG00000261517		95435	310108	rs9568861-T	rs9568861	0	9568861	intergenic_variant	1	0.15	3E-08	7.52287874528034		1.05	[1.03-1.06]	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101836	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	231,420 European ancestry individuals	20p11.23	20	20087991		CFAP61			ENSG00000089101			rs7261425-C	rs7261425	0	7261425	intron_variant	0	0.71	4E-10	9.39794000867204		1.04	[1.03-1.05]	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101836	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	157,384 European ancestry individuals	1p36.12	1	20402958		LINC01141			ENSG00000236963			rs10916784-G	rs10916784	0	10916784	intergenic_variant	0	0.58	5E-12	11.301029995664		1.05	[1.03-1.06]	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101837	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	157,384 European ancestry individuals	1q21.1	1	147274360		CHD1L, LINC00624			ENSG00000131778, ENSG00000278811			rs7531962-A	rs7531962	0	7531962	intron_variant	0	0.11	3E-08	7.52287874528034		1.06	[1.04-1.08]	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101837	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	157,384 European ancestry individuals	3p14.3	3	58378923		PXK			ENSG00000168297			rs7432739-G	rs7432739	0	7432739	intron_variant	0	0.28	5E-09	8.30102999566398		1.05	[1.03-1.06]	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101837	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	157,384 European ancestry individuals	3p14.1	3	66376835		SLC25A26			ENSG00000144741			rs7626079-C	rs7626079	0	7626079	intron_variant	0	0.64	9E-10	9.04575749056068		1.04	[1.03-1.06]	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101837	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	157,384 European ancestry individuals	5q11.1	5	50634452		EMB - PARP8	ENSG00000170571	ENSG00000151883		191204	31447	rs62366901-T	rs62366901	0	62366901	intergenic_variant	1	0.6	1E-08	8		1.04	[1.03-1.05]	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101837	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	157,384 European ancestry individuals	6q24.1	6	138536917		NHSL1			ENSG00000135540			rs7765207-T	rs7765207	0	7765207	intron_variant	0	0.39	4E-09	8.39794000867204		1.04	[1.03-1.06]	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101837	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	157,384 European ancestry individuals	8p23.1	8	12765954		LINC03019			ENSG00000254813			rs62486442-A	rs62486442	0	62486442	intergenic_variant	0	0.34	2E-10	9.69897000433602		1.05	[1.03-1.06]	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101837	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	157,384 European ancestry individuals	13q31.1	13	81072495		LINC00377 - DPPA3P3	ENSG00000229246	ENSG00000270415		27804	42371	rs76141923-C	rs76141923	0	76141923	intergenic_variant	1	0.01	1E-09	9		1.4	[1.26-1.57]	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101837	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	157,384 European ancestry individuals	15q14	15	39376669		LINC02915 - THBS1	ENSG00000175746	ENSG00000137801		121824	204410	rs28790585-T	rs28790585	0	28790585	regulatory_region_variant	1	0.33	4E-08	7.39794000867204		1.04	[1.03-1.06]	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101837	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	157,384 European ancestry individuals	20q11.21	20	33378892		CDK5RAP1			ENSG00000101391			rs2065703-T	rs2065703	0	2065703	intron_variant	0	0.15	7E-11	10.1549019599857		1.06	[1.04-1.08]	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90101837	Genome-wide genotyping array
